,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
9046,0.000187869029374124,0.0002,0.00018732000000037,0.000191752907851054,0.000187927277509985,-4.47790815,127.974010104658043651,660039.609269289410383309,1552502220.0,0,37,21,2,3,3
9108,0.000187869029374124,0.0002,0.00018732000000037,0.000191752907851054,0.000187927277509985,-4.47790815,127.974010104658043651,660039.609269289410383309,1552502280.0,0,38,21,2,3,3
9168,0.000187869029374124,0.0002,0.00018732000000037,0.00019165242730142,0.00018786,-4.47790815,127.974010104658043651,660039.609269289410383309,1552502340.0,0,39,21,2,3,3
9229,0.000187869029374124,0.0002,0.00018732000000037,0.00019165242730142,0.00018786,-4.47790815,127.974010104658043651,660039.609269289410383309,1552502400.0,0,40,21,2,3,3
9290,0.000187869029374124,0.0002,0.00018732000000037,0.00019157209807624,0.0001880037600188,-4.19733331,127.711104247560125374,658702.863265212046521368,1552502460.0,0,41,21,2,3,3
9350,0.000187869029374124,0.0002,0.00018732000000037,0.00019157209807624,0.0001880037600188,-4.19733331,127.711104247560125374,658702.863265212046521368,1552502520.0,0,42,21,2,3,3
9410,0.000187869029374124,0.0002,0.00018732000000037,0.00019157209807624,0.0001880037600188,-4.19733331,127.711104247560125374,658702.863265212046521368,1552502580.0,0,43,21,2,3,3
9471,0.000187869029374124,0.0002,0.00018732000000037,0.000194326778636676,0.000188020681034031,-4.79046259,103.665250425291622219,535305.48436814489969794,1552502640.0,0,44,21,2,3,3
9533,0.000187869029374124,0.0002,0.00018732000000037,0.000194259793246591,0.0001880056400564,-4.79046259,103.665250425291622219,535305.48436814489969794,1552502700.0,0,45,21,2,3,3
9593,0.000187869029374124,0.0002,0.00018732000000037,0.000194259793246591,0.0001880056400564,-4.79046259,103.665250425291622219,535305.48436814489969794,1552502760.0,0,46,21,2,3,3
